project_id,start_date,planned_duration_days,actual_duration_days,end_date_planned,budget,actual_spend,num_team_members,stakeholder_satisfaction,project_success
65,2023-10-26,210,198.1,2024-05-23,450573,487039.38,15,3.96,1
66,2022-09-30,121,120.0,2023-01-29,484771,588138.11,19,1.21,0
67,2023-03-21,292,289.5,2024-01-07,467682,395492.17,16,3.71,1
68,2023-07-18,203,235.8,2024-02-06,399044,337532.19,6,4.78,0
69,2022-05-24,116,127.2,2022-09-17,313206,264847.95,9,4.98,1
70,2023-09-26,192,194.0,2024-04-05,466930,580791.86,17,1.57,0
71,2022-03-15,312,380.8,2023-01-21,487477,410481.67,12,2.59,0
72,2023-09-26,253,237.8,2024-06-05,264532,279521.2,10,2.5,0
73,2022-12-08,204,255.4,2023-06-30,483478,625137.31,8,3.83,0
74,2023-03-21,241,323.9,2023-11-17,76790,77720.0,9,2.74,0
75,2022-06-22,200,166.8,2023-01-08,267841,277036.07,10,1.47,0
76,2022-12-27,60,82.6,2023-02-25,89298,97485.23,19,1.33,0
77,2022-04-27,193,218.8,2022-11-06,348539,449249.46,17,4.56,0
78,2022-08-01,262,296.7,2023-04-20,257611,215594.2,17,3.52,0
79,2023-06-10,202,246.1,2023-12-29,364782,473456.28,5,4.6,0
80,2022-01-12,283,303.8,2022-10-22,61023,75981.68,10,1.68,0
81,2023-11-07,149,171.4,2024-04-04,414167,404507.02,7,4.9,0
82,2023-12-05,204,262.8,2024-06-26,481304,459531.64,18,1.65,0
83,2023-07-12,94,98.7,2023-10-14,168012,213419.92,7,3.45,0
84,2023-03-26,69,57.1,2023-06-03,370285,456573.23,3,4.11,0
85,2022-05-26,283,327.3,2023-03-05,292926,256371.31,19,4.35,0
86,2023-09-02,164,132.5,2024-02-13,155570,134867.69,8,3.77,1
87,2023-12-10,192,221.0,2024-06-19,285365,358584.77,7,4.03,0
88,2022-03-24,204,194.0,2022-10-14,499613,450912.06,15,3.42,1
89,2023-03-22,347,301.2,2024-03-03,142193,139218.52,4,2.9,0
90,2022-11-02,327,371.7,2023-09-25,486160,523085.51,19,1.54,0
91,2022-10-30,266,325.2,2023-07-23,51252,56897.65,9,1.55,0
92,2022-11-02,157,166.8,2023-04-08,254625,253637.57,4,2.39,0
93,2022-06-15,89,108.5,2022-09-12,120390,127830.24,6,2.84,0
94,2023-02-05,332,274.7,2024-01-03,332107,276684.32,8,2.97,0
95,2022-07-24,185,185.9,2023-01-25,479802,522900.2,17,1.52,0
96,2022-07-02,154,182.4,2022-12-03,187162,162721.19,10,3.79,0
97,2022-10-08,254,304.9,2023-06-19,264879,274674.44,7,2.38,0
98,2023-11-13,81,90.8,2024-02-02,391396,420499.29,14,1.83,0
99,2023-06-30,137,112.8,2023-11-14,141865,162463.43,17,3.51,0
100,2022-08-27,115,118.0,2022-12-20,236717,207953.24,19,2.11,0
101,2022-09-14,67,93.2,2022-11-20,439744,483119.93,17,2.48,0
102,2023-12-27,73,81.7,2024-03-09,439593,518709.94,4,3.99,0
103,2023-06-10,246,328.9,2024-02-11,308930,357331.54,16,4.0,0
104,2023-05-23,333,345.8,2024-04-20,155977,152400.97,7,1.73,0
105,2022-02-08,332,372.2,2023-01-06,145462,122857.52,19,2.37,0
106,2022-01-25,127,139.6,2022-06-01,57561,68761.54,17,3.34,0
107,2023-04-15,93,98.5,2023-07-17,62910,73775.8,12,2.14,0
108,2023-06-02,239,226.2,2024-01-27,235625,260077.6,15,2.32,0
109,2023-01-12,348,310.3,2023-12-26,428292,364429.91,18,1.64,0
110,2023-03-22,154,128.0,2023-08-23,208518,254633.22,10,3.79,0
111,2022-08-11,65,87.8,2022-10-15,172177,187328.44,17,4.27,0
112,2023-08-29,121,135.6,2023-12-28,284936,330305.97,15,4.08,0
113,2022-11-22,177,195.5,2023-05-18,114323,115776.98,19,3.12,0
114,2022-01-01,149,171.2,2022-05-30,390621,368869.38,13,4.73,0
115,2022-09-16,220,193.7,2023-04-24,435925,422107.11,12,4.96,1
116,2022-01-13,227,200.5,2022-08-28,307665,259648.97,11,4.04,1
117,2023-07-04,153,198.7,2023-12-04,92078,116456.99,14,2.63,0
118,2023-01-11,196,164.6,2023-07-26,246513,219548.55,10,3.89,1
119,2023-07-26,326,417.2,2024-06-16,485048,570053.13,5,1.66,0
120,2022-01-05,137,181.7,2022-05-22,175501,171888.35,10,2.81,0
121,2023-09-08,73,71.6,2023-11-20,89711,92522.53,17,3.31,1
122,2022-05-25,284,319.8,2023-03-05,61246,60752.7,10,1.92,0
123,2022-02-08,257,318.3,2022-10-23,104917,101392.62,12,1.56,0
124,2022-01-15,170,211.6,2022-07-04,383468,401763.95,6,4.99,0
125,2023-03-17,156,194.4,2023-08-20,356172,329190.04,6,3.28,0
126,2023-06-06,64,55.2,2023-08-09,293322,345333.17,15,1.44,0
127,2022-08-16,275,351.6,2023-05-18,376579,376068.23,7,2.95,0
128,2022-11-20,232,268.9,2023-07-10,332753,268232.7,6,3.17,0
129,2022-10-10,128,172.2,2023-02-15,121315,108067.26,8,1.91,0
130,2022-01-23,362,322.9,2023-01-20,427177,544070.43,15,1.56,0
131,2022-07-29,170,231.1,2023-01-15,141751,175213.02,6,4.68,0
132,2022-05-13,352,444.5,2023-04-30,416407,468742.53,11,2.7,0
133,2022-01-29,355,310.2,2023-01-19,184869,232074.02,7,4.94,0
134,2023-09-14,241,318.6,2024-05-12,429862,541807.07,10,3.43,0
135,2023-03-07,196,157.3,2023-09-19,107545,129207.44,11,1.46,0
136,2022-09-01,84,90.7,2022-11-24,289690,365438.17,4,4.67,0
137,2023-10-02,310,340.7,2024-08-07,296965,263762.38,8,1.14,0
138,2022-06-10,236,278.3,2023-02-01,480364,523738.07,19,1.71,0
139,2022-03-25,236,200.9,2022-11-16,283619,285692.84,10,3.01,1
140,2022-05-21,274,366.8,2023-02-19,183554,166107.71,19,1.15,0
141,2022-10-13,203,198.2,2023-05-04,143607,157066.82,17,3.11,1
142,2023-05-17,172,216.6,2023-11-05,76737,80459.2,6,1.73,0
143,2022-02-24,190,254.3,2022-09-02,128623,120410.54,4,2.63,0
144,2022-03-28,114,150.5,2022-07-20,155947,190238.88,10,1.11,0
145,2023-03-19,314,315.1,2024-01-27,295756,324599.45,7,1.71,0
146,2023-09-01,151,193.8,2024-01-30,151358,175636.81,16,3.41,0
147,2023-05-06,224,218.6,2023-12-16,439301,396465.7,18,1.35,0
148,2022-11-26,322,262.7,2023-10-14,328176,296652.44,6,3.57,1
149,2022-03-23,61,61.3,2022-05-23,486096,587554.82,12,4.3,0
150,2023-12-08,178,186.1,2024-06-03,428387,476398.24,11,2.74,0
151,2023-05-15,339,370.3,2024-04-18,488864,603372.56,16,2.88,0
152,2023-12-22,174,195.7,2024-06-13,77856,72743.87,15,2.61,0
153,2022-07-20,305,424.1,2023-05-21,198757,241979.71,15,3.76,0
154,2022-03-16,205,225.3,2022-10-07,373412,450905.15,4,3.22,0
155,2022-06-02,135,119.3,2022-10-15,51622,44048.5,8,3.93,1
156,2023-09-02,327,296.0,2024-07-25,227900,258100.93,15,4.35,0
157,2023-04-21,249,224.0,2023-12-26,217469,179082.02,13,1.74,0
158,2023-11-24,351,341.6,2024-11-09,103276,102723.25,6,3.88,1
159,2022-08-15,157,213.8,2023-01-19,234374,265272.83,7,2.94,0
160,2023-07-02,298,388.9,2024-04-25,294883,259793.97,19,2.99,0
161,2022-12-31,260,261.7,2023-09-17,213993,221936.13,10,3.91,1
162,2022-08-05,120,129.1,2022-12-03,255738,281092.64,5,4.28,1
163,2022-08-17,167,192.7,2023-01-31,256258,239876.08,7,1.37,0
164,2022-01-17,116,98.8,2022-05-13,406150,430783.13,18,4.49,1
165,2023-10-23,140,165.5,2024-03-11,444966,517073.48,10,2.0,0
166,2022-03-30,327,271.7,2023-02-20,127454,146137.18,17,1.18,0
167,2022-01-16,258,294.3,2022-10-01,419040,373066.15,9,1.14,0
168,2023-09-21,66,91.3,2023-11-26,454338,573464.56,9,2.82,0
169,2023-03-19,162,165.0,2023-08-28,137312,154487.49,14,1.48,0
170,2022-04-08,190,198.1,2022-10-15,184055,187831.09,9,2.26,0
171,2023-05-12,63,78.3,2023-07-14,366764,414746.85,3,4.54,0
172,2023-03-02,167,179.9,2023-08-16,261837,264128.87,4,1.09,0
173,2022-05-21,333,280.4,2023-04-19,491759,622711.94,16,2.4,0
174,2023-04-22,304,402.6,2024-02-20,243259,270930.38,17,2.59,0
175,2022-12-25,124,134.0,2023-04-28,82733,66324.83,6,3.86,1
176,2022-10-20,212,295.2,2023-05-20,238847,193212.17,11,1.44,0
177,2022-12-10,199,190.1,2023-06-27,93001,111507.7,8,4.93,0
178,2022-11-15,361,421.7,2023-11-11,438439,453214.73,9,4.96,0
179,2023-07-25,131,152.6,2023-12-03,295596,332493.28,15,1.48,0
180,2022-04-17,285,259.9,2023-01-27,296584,269963.54,5,4.3,1
181,2023-06-01,320,425.7,2024-04-16,123781,159003.05,5,3.39,0
182,2023-07-27,237,211.5,2024-03-20,468641,538004.7,5,1.9,0
183,2022-04-30,148,194.8,2022-09-25,240792,300378.56,13,4.51,0
184,2022-11-19,182,238.7,2023-05-20,377304,310214.95,12,4.24,0
185,2022-02-09,84,81.4,2022-05-04,376916,440089.51,17,1.02,0
186,2022-09-08,235,323.7,2023-05-01,162217,172972.19,18,3.73,0
187,2023-08-16,173,192.0,2024-02-05,175991,218484.58,5,2.39,0
188,2022-02-09,296,378.4,2022-12-02,149616,185421.35,10,1.98,0
189,2023-07-25,118,143.8,2023-11-20,155228,189146.35,12,1.42,0
190,2023-10-29,247,340.1,2024-07-02,203606,252638.11,12,1.52,0
191,2022-12-29,217,280.1,2023-08-03,92534,81465.08,16,4.03,0
192,2023-06-08,354,414.2,2024-05-27,125713,118612.61,19,3.24,0
193,2022-12-26,282,364.1,2023-10-04,456203,367031.83,18,1.43,0
194,2023-02-18,133,137.7,2023-07-01,485423,592245.55,17,4.73,0
195,2022-10-05,255,214.4,2023-06-17,253667,290180.55,19,4.08,0
196,2023-02-05,252,208.5,2023-10-15,303973,337549.18,16,4.89,0
197,2022-10-12,263,304.2,2023-07-02,127475,143254.73,14,1.1,0
198,2022-02-02,193,243.6,2022-08-14,81598,85214.55,4,2.09,0
199,2022-10-12,63,82.7,2022-12-14,195360,166270.27,17,4.18,0
200,2022-06-06,134,169.3,2022-10-18,335555,409368.24,13,2.09,0
